菜系	口味	食材	菜名
东北菜	酸甜脆嫩	猪里脊肉、冬瓜、胡萝卜、鸡蛋清、淀粉	冰花锅包肉
东北菜	鲜香浓郁	土鸡肉、土豆、玉米、豆腐、青椒	乱炖小鸡
东北菜	酸甜微辣	绿豆淀粉、黄瓜、红萝卜、熟豆芽、芝麻酱、酱油	东北大拉皮
东北菜	醇厚鲜香	五花肉、大白菜、葱姜、生抽、老抽、花椒粉	猪肉白菜馅饺子
东北菜	酸鲜浓郁	猪五花肉、酸菜、血肠、豆腐	东北酸菜白肉血肠
东北菜	烟熏醇厚	猪小排、大蒜、蜂蜜、酱油、五香粉	熏烤排骨
东北菜	酱香浓郁	黄豆面酱、五花肉末、大葱、黄豆芽、东北大饼	炸酱烀饼
东北菜	鲜香四溢	土豆、茄子、青椒、东北大米、香菇	地三鲜煲仔饭
东北菜	甜酸开胃	猪里脊肉、山楂、草莓、冰糖	冰糖葫芦溜肉段
东北菜	醇厚鲜美	草鱼头、东北大豆腐乳、生姜、葱	豆腐炖鱼头
川菜	麻辣鲜香	草鱼片、豆芽、豆皮、木耳	麻辣水煮鱼
川菜	麻辣微甜	鸡肉、花生米、干辣椒、葱姜蒜	宫保鸡丁
川菜	酸辣醇厚	五花肉、粉丝、泡椒、醋、生抽	酸辣粉蒸肉
川菜	麻辣鲜香	鸭血、黄豆芽、豆腐、藕片、鳝鱼	水煮毛血旺
川菜	麻辣鲜香	鸡腿肉、黄瓜、芝麻、花椒油	口水鸡
川菜	醇香微辣	土鸡、糟卤、八角、桂皮	醉鸡
川菜	麻辣鲜香	嫩豆腐、牛肉末、豆瓣酱、豆豉	麻婆豆腐
川菜	酸甜香辣	长茄子、猪肉末、泡红椒、甜面酱	鱼香茄子煲
川菜	麻辣醇香	五花肉、青椒、红椒、豆瓣酱	回锅肉
川菜	麻辣鲜香	猪后臀尖、大蒜、酱油、花椒油	蒜泥白肉
鲁菜	清鲜	鲜活大虾、菊花瓣	菊花大虾仁
鲁菜	酱香浓郁	新鲜海螺、老抽、糖色	红烧海螺
